Time [s],Joint1 [rad],Joint2 [rad],Joint3 [rad],Joint4 [rad],Joint5 [rad],Joint6 [rad],VelJ1 [rad/s],VelJ2 [rad/s],VelJ3 [rad/s],VelJ4 [rad/s],VelJ5 [rad/s],VelJ6 [rad/s]
0.5,0.000795347,0.00880473,0.241565,-0.0000174858,0.232761,0.000787801,0.000164693,0.175,0.00456102,-0.000000116834,-0.170439,0.000163567
0.6,0.000813463,0.0280547,0.242067,-0.0000174987,0.214012,0.000805794,0.000197632,0.21,0.00547322,-0.000000140201,-0.204527,0.00019628
0.7,0.000834873,0.0508047,0.24266,-0.0000175139,0.191855,0.000827057,0.00023057,0.245,0.00638543,-0.000000163568,-0.238615,0.000228993
0.8,0.000859577,0.0770547,0.243344,-0.0000175314,0.166289,0.000851592,0.000263509,0.28,0.00729763,-0.000000186935,-0.272702,0.000261707
0.9,0.000887557,0.106786,0.244119,-0.0000175512,0.137333,0.000879381,0.000291589,0.309837,0.00807527,-0.000000206855,-0.301762,0.000289594
1,0.000915069,0.136019,0.244881,-0.0000175708,0.108862,0.000906704,0.00025865,0.274837,0.00716307,-0.000000183488,-0.267674,0.000256881
1.1,0.000939287,0.161753,0.245552,-0.0000175879,0.0837985,0.000930757,0.000225711,0.239837,0.00625086,-0.000000160121,-0.233586,0.000224168
1.2,0.000960211,0.183987,0.246131,-0.0000176028,0.0621443,0.000951538,0.000192773,0.204837,0.00533866,-0.000000136754,-0.199498,0.000191454
1.3,0.000977841,0.20272,0.246619,-0.0000176153,0.0438989,0.000969048,0.000159834,0.169837,0.00442645,-0.000000113387,-0.165411,0.000158741
1.4,0.000992178,0.217954,0.247016,-0.0000176255,0.0290622,0.000983286,0.000126896,0.134837,0.00351425,-0.0000000900205,-0.131323,0.000126028
1.5,0.00100322,0.229688,0.247322,-0.0000176333,0.0176343,0.000994253,0.0000939569,0.099837,0.00260205,-0.0000000666537,-0.0972349,0.0000933143
1.6,0.00101097,0.237922,0.247537,-0.0000176388,0.00961523,0.00100195,0.0000610183,0.064837,0.00168984,-0.0000000432868,-0.0631471,0.0000606009
1.7,0.00101542,0.242655,0.24766,-0.000017642,0.00500491,0.00100637,0.0000280797,0.029837,0.00077764,-0.0000000199199,-0.0290593,0.0000278876
1.78525,0.00101662,0.243927,0.247693,-0.0000176428,0.00376627,0.00100756,0,0,0,0,0,0
,,,,,,,,,,,,
,,,,,,,,,,,,
0,0.00101662,0.243927,0.247693,-0.0000176428,0.00376627,0.00100756,0,0,0,0,0,0
0.1,0.00276662,0.243927,0.247693,-0.0000176432,0.00376627,0.00100756,0.035,0.000000144578,0.000000102769,-0.00000000746353,-0.0000000397651,-0.00000000420636
0.2,0.00801662,0.243927,0.247693,-0.0000176443,0.00376627,0.00100756,0.07,0.000000289156,0.000000205538,-0.0000000149271,-0.0000000795302,-0.00000000841273
0.3,0.0167666,0.243927,0.247693,-0.0000176462,0.00376626,0.00100756,0.105,0.000000433734,0.000000308306,-0.0000000223906,-0.000000119295,-0.0000000126191
0.4,0.0290166,0.243927,0.247693,-0.0000176488,0.00376624,0.00100756,0.14,0.000000578311,0.000000411075,-0.0000000298541,-0.00000015906,-0.0000000168255
0.5,0.0447666,0.243927,0.247693,-0.0000176521,0.00376622,0.00100756,0.175,0.000000722889,0.000000513844,-0.0000000373177,-0.000000198825,-0.0000000210318
0.6,0.0640166,0.243927,0.247694,-0.0000176562,0.0037662,0.00100755,0.21,0.000000867467,0.000000616613,-0.0000000447812,-0.000000238591,-0.0000000252382
0.7,0.0867666,0.243927,0.247694,-0.0000176611,0.00376618,0.00100755,0.245,0.00000101204,0.000000719382,-0.0000000522447,-0.000000278356,-0.0000000294446
0.8,0.113017,0.243928,0.247694,-0.0000176667,0.00376615,0.00100755,0.28,0.00000115662,0.000000822151,-0.0000000597083,-0.000000318121,-0.0000000336509
0.9,0.142767,0.243928,0.247694,-0.000017673,0.00376611,0.00100755,0.315,0.0000013012,0.000000924919,-0.0000000671718,-0.000000357886,-0.0000000378573
1,0.176017,0.243928,0.247694,-0.0000176801,0.00376607,0.00100754,0.35,0.00000144578,0.00000102769,-0.0000000746353,-0.000000397651,-0.0000000420636
